time,bid,ask,last_price,volume
2019-06-15 15:15:00,8714.2,8714.3,8714.3,12067.14288682
2019-06-15 15:16:00,8713.0,8713.1,8711.8,12029.90361363
2019-06-15 15:17:00,8705.6,8706.2,8705.6,12031.52843521
2019-06-15 15:18:00,8705.6,8705.7,8705.7,12031.97586838
2019-06-15 15:19:00,8705.6,8705.7,8705.6,12032.79120946
2019-06-15 15:20:00,8705.6,8705.7,8705.7,12035.85515341
2019-06-15 15:21:00,8705.6,8705.7,8705.7,12035.89322921
2019-06-15 15:22:00,8705.6,8705.7,8705.6,12035.93322921
2019-06-15 15:23:00,8701.6,8701.7,8701.7,12037.81469259
2019-06-15 15:24:00,8701.6,8701.7,8701.6,12038.11912356
2019-06-15 15:25:00,8700.0,8700.1,8700.0,12051.34588541
2019-06-15 15:26:00,8701.6,8701.7,8701.6,12060.54641768
2019-06-15 15:27:00,8701.0,8701.1,8701.0,12063.166682699999996
2019-06-15 15:28:00,8700.0,8700.1,8700.0,12064.14295546
2019-06-15 15:29:00,8689.7,8689.8,8689.7,12157.72445849
2019-06-15 15:30:00,8689.7,8689.8,8689.7,12168.18098606
2019-06-15 15:31:00,8689.7,8689.8,8689.7,12080.97744707
2019-06-15 15:32:00,8689.7,8689.8,8694.4,12082.35476303
2019-06-15 15:33:00,8694.9,8695.0,8695.0,12082.48200251
2019-06-15 15:34:00,8696.3,8698.1,8698.1,12084.55306692
2019-06-15 15:35:00,8701.7,8705.5,8703.5,12095.52204369
2019-06-15 15:36:00,8704.1,8705.4,8705.5,12096.56872893
2019-06-15 15:37:00,8704.7,8705.4,8704.7,12096.63976734
2019-06-15 15:38:00,8704.1,8704.2,8704.2,12097.40954551
2019-06-15 15:39:00,8704.1,8704.2,8704.1,12098.35501058
2019-06-15 15:40:00,8700.8,8702.9,8700.8,12099.18108994
2019-06-15 15:41:00,8700.6,8701.9,8701.9,12102.74365553
2019-06-15 15:42:00,8700.6,8700.8,8700.6,12103.60365553
2019-06-15 15:43:00,8700.1,8700.8,8700.1,12104.08362868
2019-06-15 15:44:00,8700.0,8700.4,8700.0,12104.61523435
2019-06-15 15:45:00,8700.5,8700.8,8700.8,12105.19027517
2019-06-15 15:46:00,8700.0,8700.1,8700.0,12081.2359751
2019-06-15 15:47:00,8700.0,8700.1,8700.0,12081.48897510000000004
2019-06-15 15:48:00,8700.0,8700.1,8700.1,12082.1095751
2019-06-15 15:49:00,8700.0,8700.1,8700.1,12082.18723896
2019-06-15 15:50:00,8704.9,8705.0,8705.7,12082.66629947
2019-06-15 15:51:00,8711.1,8711.9,8711.2,12088.6993347099999995
2019-06-15 15:52:00,8712.1,8712.2,8712.1,12091.82595734
2019-06-15 15:53:00,8712.2,8713.0,8713.0,12097.30197716
2019-06-15 15:54:00,8713.0,8713.1,8713.1,12097.53556715
2019-06-15 15:55:00,8734.8,8734.9,8734.9,12413.32048959
2019-06-15 15:56:00,8721.9,8722.2,8721.9,12445.25366362
2019-06-15 15:57:00,8701.2,8701.3,8700.1,12476.31712044
2019-06-15 15:58:00,8700.5,8703.5,8702.5,12483.36591105
2019-06-15 15:59:00,8680.1,8680.2,8680.1,12604.03804702
2019-06-15 16:00:00,8674.7,8675.8,8674.7,12643.55418766
2019-06-15 16:01:00,8666.1,8666.2,8666.2,12591.09317569
2019-06-15 16:02:00,8665.0,8665.1,8665.0,12594.31674017
2019-06-15 16:03:00,8664.8,8664.9,8664.8,12666.622256
2019-06-15 16:04:00,8666.8,8666.9,8666.89889175,12692.56087602
2019-06-15 16:05:00,8663.5,8663.6,8663.5,12693.71956189
2019-06-15 16:06:00,8658.4,8658.5,8658.4,12694.27693043
2019-06-15 16:07:00,8652.6,8652.7,8652.6949366,12695.77901152
2019-06-15 16:08:00,8662.9,8663.0,8655.0,12696.26956019
2019-06-15 16:09:00,8662.9,8663.0,8662.9,12706.30706019
2019-06-15 16:10:00,8664.7,8665.1,8662.1,12708.33840596
2019-06-15 16:11:00,8664.2,8664.3,8664.3,12709.57700596
